Wang_2004	Marchive_2013_20min	HN_induced_Widiez_2011	Alvarez_2020_NLP7RegulatedGenes	Alvarez_2019_CinetiqueKNO3_2h	Gaudinier_2018_CoreGenes_Review_TFs	Krouk_2010_KNO3
At1g05250	AT4G37925	At3g28050	AT4G18160	AT3G27170		At1g63940
At5g08010	AT1G61520	At4g21600	AT4G19230	AT3G63260		At1g64380
At2g31390	AT1G72610	At1g68070	AT4G20140	AT1G60470		At1g66140
At1g11460	AT5G25610	At1g63110	AT4G21120	AT2G28190		At1g67920
At5g06570	AT2G46820	At5g10240	AT4G21380	AT1G12740		At1g68670
At3g48990	AT5G50210	At4g29520	AT4G21410	AT3G52840		At1g68880
At1g22180	AT2G39480	At1g14040	AT4G22070	AT4G33040		At1g69450
At1g30510	AT3G48420	At2g43890	AT4G22720	AT4G04745		At1g72200
At5g61420	AT3G59780	At2g41480	AT4G22780	AT5G14040		At1g72240
At1g68670	AT4G28750	At5g48110	AT4G22970	AT5G18245		At1g72820
At1g14980	AT2G31860	At1g22740	AT4G22980	AT3G02920		At1g75210
At5g04840	AT5G54770	At5g65760	AT4G23010	AT2G18960		At1g80460
At2g43920	AT3G47470	At4g18910	AT4G23180	AT2G28890		At2g02630
At1g79550	AT2G19970	At1g65720	AT4G23270	AT2G01260		At2g04730
At4g25620	AT5G38430	At5g16070	AT4G24040	AT5G18240		At2g18030
At4g39780	AT5G64170	At3g56860	AT4G24240	AT4G25620		At2g18160
At4g00630	AT1G52580	At3g50070	AT4G24400	AT5G44020		At2g19460
At4g38470	AT3G02885	At1g73280	AT4G24620	AT1G60710		At2g22500
At5g20680	AT1G52615	At4g36360	AT4G25180	AT1G67110		At2g24550
At5g07680	AT5G26200	At5g23400	AT4G25360	AT2G29730		At2g27510
At1g68880	AT1G30380	At1g52820	AT4G25620	AT1G72220		At2g28190
At2g22480	AT4G26530	At5g23440	AT4G25640	AT3G60690		At2g28910
At5g40980	AT3G10520	At1g53430	AT4G26090	AT2G17700		At2g31940
At2g30970	AT1G65260	At4g39300	AT4G26095	AT5G10230		At2g33390
At1g61660	AT5G38410	At2g39200	AT4G26120	AT4G21350		At2g35270
At1g44800	AT3G54050	At1g25275	AT4G26540	AT5G56350		At2g36320
